,Infector,Infectee,Timestamp,Date
103,lil426,dot227,2024-09-18 00:37:00,2024-09-18
104,lil426,ker327,2024-09-18 00:37:11,2024-09-18
105,lil426,cmm227,2024-09-18 00:37:25,2024-09-18
106,chv328,syh228,2024-09-18 01:04:38,2024-09-18
107,chv328,jog428,2024-09-18 01:12:51,2024-09-18
108,nep225,shp226,2024-09-18 01:46:45,2024-09-18
109,chv328,som228,2024-09-18 01:53:24,2024-09-18
110,lil426,ssr227,2024-09-18 02:15:09,2024-09-18
111,lil426,lab326,2024-09-18 02:15:52,2024-09-18
112,kaw225,hmf225,2024-09-18 02:18:58,2024-09-18
113,kaw225,zps224,2024-09-18 02:19:35,2024-09-18
114,kaw225,kem225,2024-09-18 02:19:57,2024-09-18
115,kaw225,kyf224,2024-09-18 02:20:13,2024-09-18
116,kaw225,als325,2024-09-18 02:20:30,2024-09-18
117,kaw225,cxm225,2024-09-18 02:20:50,2024-09-18
118,kaw225,szx225,2024-09-18 02:21:11,2024-09-18
119,ahd326,lmd222,2024-09-18 02:29:05,2024-09-18
120,ahd326,ajf326,2024-09-18 02:41:25,2024-09-18
121,cew226,srg226,2024-09-18 03:20:43,2024-09-18
122,kaw225,dee225,2024-09-18 03:25:04,2024-09-18
123,dee225,sil225,2024-09-18 03:25:24,2024-09-18
124,sil225,ech225,2024-09-18 03:26:47,2024-09-18
125,dee225,dms425,2024-09-18 03:27:28,2024-09-18
126,dee225,mef225,2024-09-18 03:27:51,2024-09-18
127,sil225,eap225,2024-09-18 03:28:04,2024-09-18
128,sil225,ddk225,2024-09-18 03:28:38,2024-09-18
129,skt226,grf226,2024-09-18 13:17:53,2024-09-18
130,skt226,njk226,2024-09-18 13:19:20,2024-09-18
131,kaw225,sja225,2024-09-18 13:57:33,2024-09-18
132,nep225,cai225,2024-09-18 14:08:18,2024-09-18
133,nep225,thc325,2024-09-18 14:09:07,2024-09-18
134,nep225,sah225,2024-09-18 14:46:08,2024-09-18
135,nep225,ams625,2024-09-18 14:56:52,2024-09-18
136,lil426,brs227,2024-09-18 14:58:30,2024-09-18
137,lil426,ess227,2024-09-18 15:01:52,2024-09-18
138,nep225,hub225,2024-09-18 16:20:47,2024-09-18
139,mnl226,jek207,2024-09-18 16:29:42,2024-09-18
140,nep225,ebk224,2024-09-18 16:36:06,2024-09-18
141,ebk224,abc324,2024-09-18 16:43:57,2024-09-18
142,nep225,svk326,2024-09-18 16:52:39,2024-09-18
143,skt226,jlc426,2024-09-18 17:33:45,2024-09-18
144,skt226,hee226,2024-09-18 17:33:56,2024-09-18
145,kaw225,nis224,2024-09-18 17:36:30,2024-09-18
146,kaw225,euc214,2024-09-18 17:36:38,2024-09-18
147,kaw225,dtg225,2024-09-18 17:37:19,2024-09-18
148,kaw225,emb627,2024-09-18 17:37:29,2024-09-18
149,ebk224,cjw221,2024-09-18 17:50:31,2024-09-18
150,ahd326,ajp223,2024-09-18 18:05:45,2024-09-18
151,ahd326,mas626,2024-09-18 18:06:15,2024-09-18
152,ahd326,ejc224,2024-09-18 18:06:22,2024-09-18
153,ahd326,trn223,2024-09-18 18:06:28,2024-09-18
154,nep225,egs327,2024-09-18 19:12:38,2024-09-18
155,euc214,naw226,2024-09-18 19:18:35,2024-09-18
156,euc214,asd626,2024-09-18 19:18:40,2024-09-18
157,euc214,ahs226,2024-09-18 19:19:11,2024-09-18
158,euc214,cno325,2024-09-18 19:19:21,2024-09-18
159,euc214,seb225,2024-09-18 19:19:29,2024-09-18
160,jil626,map826,2024-09-18 19:19:30,2024-09-18
161,jil626,mab526,2024-09-18 19:19:38,2024-09-18
162,jil626,chc226,2024-09-18 19:19:45,2024-09-18
163,jil626,kah326,2024-09-18 19:20:04,2024-09-18
164,jil626,ktl225,2024-09-18 19:22:47,2024-09-18
165,emb627,eaf327,2024-09-18 20:00:59,2024-09-18
166,kaw225,arh426,2024-09-18 20:59:16,2024-09-18
167,kyf224,ajr626,2024-09-18 21:19:42,2024-09-18
168,kyf224,sno225,2024-09-18 21:31:53,2024-09-18
169,ajr626,cam326,2024-09-18 21:36:10,2024-09-18
170,kaw225,tab326,2024-09-18 22:09:39,2024-09-18
171,arh426,abm323,2024-09-18 22:31:13,2024-09-18
172,mnl226,vap326,2024-09-18 23:08:06,2024-09-18
173,mnl226,lar226,2024-09-18 23:08:12,2024-09-18
174,cew226,lat226,2024-09-19 00:45:46,2024-09-19
175,hme226,jjs226,2024-09-19 00:55:48,2024-09-19
176,anb225,mer225,2024-09-19 02:15:28,2024-09-19
177,anb225,mbl325,2024-09-19 02:16:17,2024-09-19
178,anb225,kab828,2024-09-19 02:16:43,2024-09-19
179,ebk224,acb626,2024-09-19 14:00:50,2024-09-19
180,lil426,mip426,2024-09-19 17:14:40,2024-09-19
181,kaw225,jil825,2024-09-19 17:22:23,2024-09-19
182,kaw225,des419,2024-09-19 17:22:36,2024-09-19
183,kaw225,klh419,2024-09-19 17:22:44,2024-09-19
184,des419,hem324,2024-09-19 17:28:35,2024-09-19
185,des419,dkw219,2024-09-19 17:28:51,2024-09-19
186,des419,lsj323,2024-09-19 17:41:53,2024-09-19
187,jil825,bcg226,2024-09-19 17:53:23,2024-09-19
188,jdo325,ery225,2024-09-19 20:11:40,2024-09-19
189,klh419,ktn322,2024-09-19 20:19:54,2024-09-19
190,mcs424,kpb321,2024-09-19 20:24:35,2024-09-19
191,des419,ann225,2024-09-19 20:29:30,2024-09-19
192,jum520,erl424,2024-09-20 01:19:54,2024-09-20
193,jum520,tek225,2024-09-20 01:20:00,2024-09-20
194,jum520,gcp225,2024-09-20 01:26:35,2024-09-20
195,jum520,kao225,2024-09-20 01:26:51,2024-09-20
196,jum520,eng325,2024-09-20 02:35:42,2024-09-20
197,jum520,rms425,2024-09-20 02:35:55,2024-09-20
198,ahd326,ksb226,2024-09-20 04:26:46,2024-09-20
199,ahd326,aeo226,2024-09-20 04:26:55,2024-09-20
200,ahd326,ymw225,2024-09-20 04:27:06,2024-09-20
201,ahd326,jbf226,2024-09-20 04:27:17,2024-09-20
202,ahd326,jar526,2024-09-20 04:27:32,2024-09-20
203,jum520,mip326,2024-09-20 13:54:14,2024-09-20
204,thm220,rof222,2024-09-20 14:13:05,2024-09-20
205,thm220,joh621,2024-09-20 14:13:14,2024-09-20
206,thm220,mig321,2024-09-20 14:30:57,2024-09-20
207,ers326,mpp226,2024-09-20 14:33:22,2024-09-20
208,rof222,gms221,2024-09-20 14:46:19,2024-09-20
