,Infector,Infectee,Timestamp,Date,Hour
75,lrb226,gpg226,2024-09-17T22:29:22.000,2024-09-17,2024-09-17 22
76,lrb226,mbk226,2024-09-17T22:32:30.000,2024-09-17,2024-09-17 22
77,lrb226,grb227,2024-09-17T22:35:18.000,2024-09-17,2024-09-17 22
78,ahd326,skt226,2024-09-17T22:46:14.000,2024-09-17,2024-09-17 22
79,skt226,lvm226,2024-09-17T23:05:29.000,2024-09-17,2024-09-17 23
80,kaw225,jeb225,2024-09-17T23:07:28.000,2024-09-17,2024-09-17 23
81,skt226,ahh226,2024-09-17T23:17:57.000,2024-09-17,2024-09-17 23
82,lrb226,bep226,2024-09-17T23:39:24.000,2024-09-17,2024-09-17 23
83,ahd326,ccb226,2024-09-17T23:41:03.000,2024-09-17,2024-09-17 23
84,ahd326,lyv226,2024-09-17T23:41:31.000,2024-09-17,2024-09-17 23
85,ahd326,lnp227,2024-09-17T23:41:43.000,2024-09-17,2024-09-17 23
86,ahd326,nac327,2024-09-17T23:41:56.000,2024-09-17,2024-09-17 23
87,ahd326,cln226,2024-09-17T23:42:06.000,2024-09-17,2024-09-17 23
88,ahd326,moe226,2024-09-17T23:42:18.000,2024-09-17,2024-09-17 23
89,nep225,glb225,2024-09-17T23:43:00.000,2024-09-17,2024-09-17 23
90,nep225,eeg326,2024-09-17T23:59:03.000,2024-09-17,2024-09-17 23
91,lil426,lis226,2024-09-18T00:01:14.000,2024-09-18,2024-09-18 00
92,lil426,mpl226,2024-09-18T00:01:31.000,2024-09-18,2024-09-18 00
93,lil426,snb227,2024-09-18T00:01:45.000,2024-09-18,2024-09-18 00
94,lil426,afc326,2024-09-18T00:01:59.000,2024-09-18,2024-09-18 00
95,lil426,ljm227,2024-09-18T00:02:18.000,2024-09-18,2024-09-18 00
96,nep225,eeo224,2024-09-18T00:04:07.000,2024-09-18,2024-09-18 00
97,lil426,abm227,2024-09-18T00:15:20.000,2024-09-18,2024-09-18 00
98,lil426,ltz226,2024-09-18T00:15:33.000,2024-09-18,2024-09-18 00
99,lmk226,alz326,2024-09-18T00:15:57.000,2024-09-18,2024-09-18 00
100,lil426,gep527,2024-09-18T00:16:00.000,2024-09-18,2024-09-18 00
101,kaw225,anb225,2024-09-18T00:24:59.000,2024-09-18,2024-09-18 00
102,chv328,adk428,2024-09-18T00:26:50.000,2024-09-18,2024-09-18 00
103,lil426,dot227,2024-09-18T00:37:00.000,2024-09-18,2024-09-18 00
104,lil426,ker327,2024-09-18T00:37:11.000,2024-09-18,2024-09-18 00
105,lil426,cmm227,2024-09-18T00:37:25.000,2024-09-18,2024-09-18 00
106,chv328,syh228,2024-09-18T01:04:38.000,2024-09-18,2024-09-18 01
107,chv328,jog428,2024-09-18T01:12:51.000,2024-09-18,2024-09-18 01
108,nep225,shp226,2024-09-18T01:46:45.000,2024-09-18,2024-09-18 01
109,chv328,som228,2024-09-18T01:53:24.000,2024-09-18,2024-09-18 01
110,lil426,ssr227,2024-09-18T02:15:09.000,2024-09-18,2024-09-18 02
111,lil426,lab326,2024-09-18T02:15:52.000,2024-09-18,2024-09-18 02
112,kaw225,hmf225,2024-09-18T02:18:58.000,2024-09-18,2024-09-18 02
113,kaw225,zps224,2024-09-18T02:19:35.000,2024-09-18,2024-09-18 02
114,kaw225,kem225,2024-09-18T02:19:57.000,2024-09-18,2024-09-18 02
115,kaw225,kyf224,2024-09-18T02:20:13.000,2024-09-18,2024-09-18 02
116,kaw225,als325,2024-09-18T02:20:30.000,2024-09-18,2024-09-18 02
117,kaw225,cxm225,2024-09-18T02:20:50.000,2024-09-18,2024-09-18 02
118,kaw225,szx225,2024-09-18T02:21:11.000,2024-09-18,2024-09-18 02
119,ahd326,lmd222,2024-09-18T02:29:05.000,2024-09-18,2024-09-18 02
120,ahd326,ajf326,2024-09-18T02:41:25.000,2024-09-18,2024-09-18 02
121,cew226,srg226,2024-09-18T03:20:43.000,2024-09-18,2024-09-18 03
122,kaw225,dee225,2024-09-18T03:25:04.000,2024-09-18,2024-09-18 03
123,dee225,sil225,2024-09-18T03:25:24.000,2024-09-18,2024-09-18 03
124,sil225,ech225,2024-09-18T03:26:47.000,2024-09-18,2024-09-18 03
125,dee225,dms425,2024-09-18T03:27:28.000,2024-09-18,2024-09-18 03
126,dee225,mef225,2024-09-18T03:27:51.000,2024-09-18,2024-09-18 03
127,sil225,eap225,2024-09-18T03:28:04.000,2024-09-18,2024-09-18 03
128,sil225,ddk225,2024-09-18T03:28:38.000,2024-09-18,2024-09-18 03
129,skt226,grf226,2024-09-18T13:17:53.000,2024-09-18,2024-09-18 13
130,skt226,njk226,2024-09-18T13:19:20.000,2024-09-18,2024-09-18 13
131,kaw225,sja225,2024-09-18T13:57:33.000,2024-09-18,2024-09-18 13
132,nep225,cai225,2024-09-18T14:08:18.000,2024-09-18,2024-09-18 14
133,nep225,thc325,2024-09-18T14:09:07.000,2024-09-18,2024-09-18 14
134,nep225,sah225,2024-09-18T14:46:08.000,2024-09-18,2024-09-18 14
135,nep225,ams625,2024-09-18T14:56:52.000,2024-09-18,2024-09-18 14
136,lil426,brs227,2024-09-18T14:58:30.000,2024-09-18,2024-09-18 14
137,lil426,ess227,2024-09-18T15:01:52.000,2024-09-18,2024-09-18 15
138,nep225,hub225,2024-09-18T16:20:47.000,2024-09-18,2024-09-18 16
139,mnl226,jek207,2024-09-18T16:29:42.000,2024-09-18,2024-09-18 16
140,nep225,ebk224,2024-09-18T16:36:06.000,2024-09-18,2024-09-18 16
141,ebk224,abc324,2024-09-18T16:43:57.000,2024-09-18,2024-09-18 16
142,nep225,svk326,2024-09-18T16:52:39.000,2024-09-18,2024-09-18 16
143,skt226,jlc426,2024-09-18T17:33:45.000,2024-09-18,2024-09-18 17
144,skt226,hee226,2024-09-18T17:33:56.000,2024-09-18,2024-09-18 17
145,kaw225,nis224,2024-09-18T17:36:30.000,2024-09-18,2024-09-18 17
146,kaw225,euc214,2024-09-18T17:36:38.000,2024-09-18,2024-09-18 17
147,kaw225,dtg225,2024-09-18T17:37:19.000,2024-09-18,2024-09-18 17
148,kaw225,emb627,2024-09-18T17:37:29.000,2024-09-18,2024-09-18 17
149,ebk224,cjw221,2024-09-18T17:50:31.000,2024-09-18,2024-09-18 17
150,ahd326,ajp223,2024-09-18T18:05:45.000,2024-09-18,2024-09-18 18
151,ahd326,mas626,2024-09-18T18:06:15.000,2024-09-18,2024-09-18 18
152,ahd326,ejc224,2024-09-18T18:06:22.000,2024-09-18,2024-09-18 18
153,ahd326,trn223,2024-09-18T18:06:28.000,2024-09-18,2024-09-18 18
154,nep225,egs327,2024-09-18T19:12:38.000,2024-09-18,2024-09-18 19
155,euc214,naw226,2024-09-18T19:18:35.000,2024-09-18,2024-09-18 19
